Date,Country_Region,Province_State,positive,active,recovered,death,total_tested,daily_tested,daily_positive,daily_tested_7d,daily_positive_7d,active_7d,growth_active,growth_cases,growth_active_7,growth_cases_7,lag1_tests,lag7_tests,lag1_tests_7,lag7_tests_7
2020-02-04,Armenia,All States,0,0,0,0,18,12,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02-05,Armenia,All States,0,0,0,0,23,5,0,NA,NA,NA,0,0,NA,NA,12,NA,NA,NA
2020-02-06,Armenia,All States,0,0,0,0,39,16,0,NA,NA,NA,0,0,NA,NA,5,NA,NA,NA
2020-02-07,Armenia,All States,0,0,0,0,48,9,0,NA,NA,NA,0,0,NA,NA,16,NA,NA,NA
2020-02-10,Armenia,All States,0,0,0,0,52,1,0,NA,NA,NA,0,0,NA,NA,9,NA,NA,NA
2020-02-11,Armenia,All States,0,0,0,0,63,11,0,NA,NA,NA,0,0,NA,NA,1,NA,NA,NA
2020-02-14,Armenia,All States,0,0,0,0,67,1,0,7.857142857142857,0,0,0,0,NA,NA,11,NA,NA,NA
2020-02-18,Armenia,All States,0,0,0,0,68,0,0,6.142857142857143,0,0,0,0,0,0,1,12,7.857142857142857,NA
2020-02-19,Armenia,All States,0,0,0,0,73,5,0,6.142857142857143,0,0,0,0,0,0,0,5,6.142857142857143,NA
2020-02-24,Armenia,All States,0,0,0,0,79,1,0,4,0,0,0,0,0,0,5,16,6.142857142857143,NA
2020-02-25,Armenia,All States,0,0,0,0,86,7,0,3.7142857142857144,0,0,0,0,0,0,1,9,4,NA
2020-02-26,Armenia,All States,0,0,0,0,93,7,0,4.571428571428571,0,0,0,0,0,0,7,1,3.7142857142857144,NA
2020-02-27,Armenia,All States,0,0,0,0,100,7,0,4,0,0,0,0,0,0,7,11,4.571428571428571,NA
2020-02-28,Armenia,All States,0,0,0,0,105,5,0,4.571428571428571,0,0,0,0,0,0,7,1,4,7.857142857142857
2020-02-29,Armenia,All States,0,0,0,0,118,13,0,6.428571428571429,0,0,0,0,0,0,5,0,4.571428571428571,6.142857142857143
2020-03-01,Armenia,All States,1,1,0,0,119,1,1,5.857142857142857,0.14285714285714285,0.14285714285714285,1,1,0.14285714285714285,0.14285714285714285,13,5,6.428571428571429,6.142857142857143
2020-03-02,Armenia,All States,1,1,0,0,138,19,0,8.428571428571429,0.14285714285714285,0.2857142857142857,0,-1,0.14285714285714285,0,1,1,5.857142857142857,4
2020-03-03,Armenia,All States,1,1,0,0,150,12,0,9.142857142857142,0.14285714285714285,0.42857142857142855,0,0,0.14285714285714285,0,19,7,8.428571428571429,3.7142857142857144
2020-03-04,Armenia,All States,1,1,0,0,163,13,0,10,0.14285714285714285,0.5714285714285714,0,0,0.14285714285714285,0,12,7,9.142857142857142,4.571428571428571
2020-03-05,Armenia,All States,1,1,0,0,176,13,0,10.857142857142858,0.14285714285714285,0.7142857142857143,0,0,0.1428571428571429,0,13,7,10,4
2020-03-06,Armenia,All States,1,1,0,0,183,7,0,11.142857142857142,0.14285714285714285,0.8571428571428571,0,0,0.1428571428571428,0,13,5,10.857142857142858,4.571428571428571
2020-03-07,Armenia,All States,1,1,0,0,195,12,0,11,0.14285714285714285,1,0,0,0.1428571428571429,0,7,13,11.142857142857142,6.428571428571429
2020-03-08,Armenia,All States,1,1,0,0,203,8,0,12,0,1,0,0,0,-0.14285714285714285,12,1,11,5.857142857142857
2020-03-09,Armenia,All States,1,1,0,0,210,7,0,10.285714285714286,0,1,0,0,0,0,8,19,12,8.428571428571429
2020-03-10,Armenia,All States,1,1,0,0,225,15,0,10.714285714285714,0,1,0,0,0,0,7,12,10.285714285714286,9.142857142857142
2020-03-11,Armenia,All States,4,4,0,0,238,13,3,10.714285714285714,0.42857142857142855,1.4285714285714286,3,3,0.4285714285714286,0.42857142857142855,15,13,10.714285714285714,10
2020-03-12,Armenia,All States,6,6,0,0,277,39,2,14.428571428571429,0.7142857142857143,2.142857142857143,0.5,-0.3333333333333333,0.49999999999999994,0.28571428571428575,13,13,10.714285714285714,10.857142857142858
2020-03-13,Armenia,All States,13,13,0,0,382,105,7,28.428571428571427,1.7142857142857142,3.857142857142857,1.1666666666666667,2.5,0.8,0.9999999999999999,39,7,14.428571428571429,11.142857142857142
2020-03-14,Armenia,All States,20,20,0,0,483,101,7,41.142857142857146,2.7142857142857144,6.571428571428571,0.5384615384615384,0,0.7037037037037036,0.5833333333333335,105,12,28.428571428571427,11
2020-03-15,Armenia,All States,28,27,1,0,529,46,8,46.57142857142857,3.857142857142857,10.285714285714286,0.35,0.14285714285714285,0.565217391304348,0.42105263157894735,101,8,41.142857142857146,12
2020-03-16,Armenia,All States,45,44,1,0,701,172,17,70.14285714285714,6.285714285714286,16.428571428571427,0.6296296296296297,1.125,0.597222222222222,0.6296296296296295,46,7,46.57142857142857,10.285714285714286
2020-03-17,Armenia,All States,78,77,1,0,837,136,33,87.42857142857143,11,27.285714285714285,0.75,0.9411764705882353,0.6608695652173914,0.75,172,15,70.14285714285714,10.714285714285714
2020-03-18,Armenia,All States,110,109,1,0,927,90,32,98.42857142857143,15.142857142857142,42.285714285714285,0.4155844155844156,-0.030303030303030304,0.5497382198952879,0.3766233766233766,136,13,87.42857142857143,10.714285714285714
2020-03-19,Armenia,All States,136,135,1,0,1044,117,26,109.57142857142857,18.571428571428573,60.714285714285715,0.23853211009174313,-0.1875,0.43581081081081086,0.22641509433962279,90,39,98.42857142857143,14.428571428571429
2020-03-20,Armenia,All States,160,159,1,0,1133,89,24,107.28571428571429,21,81.57142857142857,0.17777777777777778,-0.07692307692307693,0.3435294117647058,0.13076923076923067,117,105,109.57142857142857,28.428571428571427
2020-03-21,Armenia,All States,190,188,2,0,1231,98,30,106.85714285714286,24.285714285714285,105.57142857142857,0.18238993710691823,0.25,0.29422066549912435,0.15646258503401356,89,101,107.28571428571429,41.142857142857146
2020-03-22,Armenia,All States,194,192,2,0,1267,36,4,105.42857142857143,23.714285714285715,129.14285714285714,0.02127659574468085,-0.8666666666666667,0.22327469553450607,-0.0235294117647058,98,46,106.85714285714286,46.57142857142857
2020-03-23,Armenia,All States,235,233,2,0,1367,100,41,95.14285714285714,27.142857142857142,156.14285714285714,0.21354166666666666,9.25,0.209070796460177,0.144578313253012,36,172,105.42857142857143,70.14285714285714
2020-03-24,Armenia,All States,265,249,16,0,1577,210,30,105.71428571428571,26.714285714285715,180.71428571428572,0.06866952789699571,-0.2682926829268293,0.15736505032021966,-0.01578947368421047,100,136,95.14285714285714,87.42857142857143
2020-03-25,Armenia,All States,290,272,18,0,1727,150,25,114.28571428571429,25.714285714285715,204,0.09236947791164658,-0.16666666666666666,0.1288537549407114,-0.0374331550802139,210,90,105.71428571428571,98.42857142857143
2020-03-26,Armenia,All States,329,300,28,1,1951,224,39,129.57142857142858,27.571428571428573,227.57142857142858,0.10294117647058823,0.56,0.11554621848739502,0.07222222222222224,150,117,114.28571428571429,109.57142857142857
2020-03-27,Armenia,All States,372,343,28,1,2206,255,43,153.28571428571428,30.285714285714285,253.85714285714286,0.14333333333333334,0.10256410256410256,0.11550533584431885,0.09844559585492219,224,89,129.57142857142858,107.28571428571429
2020-03-28,Armenia,All States,424,393,30,1,2475,269,52,177.71428571428572,33.42857142857143,283.14285714285717,0.1457725947521866,0.20930232558139536,0.1153629712999438,0.10377358490566048,255,98,153.28571428571428,106.85714285714286
2020-03-29,Armenia,All States,482,449,30,3,2695,220,58,204,41.142857142857146,319.85714285714283,0.14249363867684478,0.11538461538461539,0.12966700302724501,0.23076923076923078,269,36,177.71428571428572,105.42857142857143
2020-03-30,Armenia,All States,532,499,30,3,3062,367,50,242.14285714285714,42.42857142857143,357.85714285714283,0.111358574610245,-0.13793103448275862,0.1188030370701206,0.031249999999999972,220,100,204,95.14285714285714
2020-03-31,Armenia,All States,571,537,31,3,3272,210,39,242.14285714285714,43.714285714285715,399,0.07615230460921844,-0.22,0.1149700598802396,0.030303030303030276,367,210,242.14285714285714,105.71428571428571
2020-04-01,Armenia,All States,663,626,33,4,3600,328,92,267.57142857142856,53.285714285714285,449.57142857142856,0.16573556797020483,1.358974358974359,0.12674543501611166,0.21895424836601302,210,150,242.14285714285714,114.28571428571429
2020-04-02,Armenia,All States,736,686,43,7,3991,391,73,291.42857142857144,58.142857142857146,504.7142857142857,0.09584664536741214,-0.20652173913043478,0.12265649825230383,0.0911528150134049,328,224,267.57142857142856,129.57142857142858
2020-04-03,Armenia,All States,770,720,43,7,4244,253,34,291.14285714285717,56.857142857142854,558.5714285714286,0.04956268221574344,-0.5342465753424658,0.10670818001698268,-0.022113022113022216,391,255,291.42857142857144,153.28571428571428
2020-04-04,Armenia,All States,822,758,57,7,4663,419,52,312.57142857142856,56.857142857142854,610.7142857142857,0.05277777777777778,0.5294117647058824,0.0933503836317135,0,253,269,291.14285714285717,177.71428571428572
2020-04-05,Armenia,All States,833,763,62,8,4926,263,11,318.7142857142857,50.142857142857146,655.5714285714286,0.006596306068601583,-0.7884615384615384,0.07345029239766088,-0.11809045226130643,419,220,312.57142857142856,204
2020-04-06,Armenia,All States,853,758,87,8,5137,211,20,296.42857142857144,45.857142857142854,692.5714285714286,-0.00655307994757536,0.8181818181818182,0.05643931139681848,-0.08547008547008558,263,367,318.7142857142857,242.14285714285714
2020-04-07,Armenia,All States,881,758,114,9,5449,312,28,311,44.285714285714285,724.1428571428571,0,0.4,0.04558580858085806,-0.034267912772585625,211,210,296.42857142857144,242.14285714285714
2020-04-08,Armenia,All States,921,773,138,10,5820,371,40,317.14285714285717,36.857142857142854,745.1428571428571,0.01978891820580475,0.42857142857142855,0.02899980272243046,-0.167741935483871,312,328,311,267.57142857142856
2020-04-09,Armenia,All States,937,777,149,11,6080,260,16,298.42857142857144,28.714285714285715,758.1428571428571,0.00517464424320828,-0.6,0.017446319018404908,-0.22093023255813946,371,391,317.14285714285717,291.42857142857144
2020-04-10,Armenia,All States,967,781,173,13,6483,403,30,319.85714285714283,28.142857142857142,766.8571428571429,0.005148005148005148,0.875,0.011494252873563305,-0.019900497512437863,260,253,298.42857142857144,291.14285714285717
2020-04-11,Armenia,All States,1013,803,197,13,7163,680,46,357.14285714285717,27.285714285714285,773.2857142857143,0.028169014084507043,0.5333333333333333,0.008383010432190781,-0.03045685279187819,403,419,319.85714285714283,312.57142857142856
2020-04-12,Armenia,All States,1039,814,211,14,7630,467,26,386.2857142857143,29.428571428571427,780.5714285714286,0.0136986301369863,-0.43478260869565216,0.009421762423794484,0.07853403141361255,680,263,357.14285714285717,318.7142857142857
2020-04-13,Armenia,All States,1067,786,265,16,8315,685,28,454,30.571428571428573,784.5714285714286,-0.0343980343980344,0.07692307692307693,0.005124450951683748,0.03883495145631079,467,211,386.2857142857143,296.42857142857144
2020-04-14,Armenia,All States,1111,797,297,17,9094,779,44,520.7142857142857,32.857142857142854,790.1428571428571,0.013994910941475827,0.5714285714285714,0.007101238164603039,0.07476635514018676,685,312,454,311
2020-04-15,Armenia,All States,1159,783,358,18,9631,537,48,544.4285714285714,34,791.5714285714286,-0.01756587202007528,0.09090909090909091,0.0018079913216416767,0.03478260869565227,779,371,520.7142857142857,317.14285714285717
2020-04-16,Armenia,All States,1201,780,402,19,10792,1161,42,673.1428571428571,37.714285714285715,792,-0.0038314176245210726,-0.125,5.414185165132853e-4,0.10924369747899162,537,260,544.4285714285714,298.42857142857144
2020-04-17,Armenia,All States,1248,705,523,20,11795,1003,47,758.8571428571429,40.142857142857146,781.1428571428571,-0.09615384615384616,0.11904761904761904,-0.01370851370851375,0.06439393939393945,1161,403,673.1428571428571,319.85714285714283
2020-04-18,Armenia,All States,1291,726,545,20,12679,884,43,788,39.714285714285715,770.1428571428571,0.029787234042553193,-0.0851063829787234,-0.014081931236283833,-0.010676156583629944,1003,680,758.8571428571429,357.14285714285717
2020-04-19,Armenia,All States,1339,737,580,22,13372,693,48,820.2857142857143,42.857142857142854,759.1428571428571,0.015151515151515152,0.11627906976744186,-0.014283064366536822,0.07913669064748191,884,467,788,386.2857142857143
2020-04-20,Armenia,All States,1401,768,609,24,13928,556,62,801.8571428571429,47.714285714285715,756.5714285714286,0.04206241519674356,0.2916666666666667,-0.0033872788859615898,0.11333333333333344,693,685,820.2857142857143,454
2020-04-21,Armenia,All States,1473,816,633,24,14966,1038,72,838.8571428571429,51.714285714285715,759.2857142857143,0.0625,0.16129032258064516,0.0035876132930514454,0.08383233532934131,556,779,801.8571428571429,520.7142857142857
2020-04-22,Armenia,All States,1523,840,659,24,15860,894,50,889.8571428571429,52,767.4285714285714,0.029411764705882353,-0.3055555555555556,0.010724365004703626,0.005524861878453019,1038,537,838.8571428571429,544.4285714285714
2020-04-23,Armenia,All States,1596,841,728,27,16552,692,73,822.8571428571429,56.42857142857143,776.1428571428571,0.0011904761904761906,0.46,0.011355174981384896,0.08516483516483521,894,1161,889.8571428571429,673.1428571428571
